Username,Password,Firstname,Lastname,Email,course1,course2,course3,course4,course5,course6,role1,role2,role3,role4,role5,role6,cohort1,cohort2
alastor,123456-Ab,Alastor,Moody,alastormoody@hogwarts.com,ALCH1532,ASTRO1744,ARITH1637,DARTS1516,HERB1790,POTCR1988,student,student,student,student,student,student,Year 1 Core Modules Cohort,Year 1 Project Cohort
colin,123456-Ab,Colin,Creevey,colincreevey@hogwarts.com,ALCH1532,ASTRO1744,ARITH1637,DARTS1516,HERB1790,POTCR1988,student,student,student,student,student,student,Year 1 Core Modules Cohort,Year 1 Project Cohort
alecto,123456-Ab,Alecto,Carrow,alectocarrow@hogwarts.com,ALCH1532,ASTRO1744,ARITH1637,DARTS1516,HERB1790,POTCR1988,student,student,student,student,student,student,Year 1 Core Modules Cohort,Year 1 Project Cohort
amycus,123456-Ab,Amycus,Carrow,amycuscarrow@hogwarts.com,ALCH1532,ASTRO1744,ARITH1637,DARTS1516,HERB1790,POTCR1988,student,student,student,student,student,student,Year 1 Core Modules Cohort,Year 1 Project Cohort
argus,123456-Ab,Argus,Filch,argusfilch@hogwarts.com,ALCH1532,ASTRO1744,ARITH1637,DARTS1516,HERB1790,POTCR1988,student,student,student,student,student,student,Year 1 Core Modules Cohort,Year 1 Project Cohort
penelope,123456-Ab,Penelope,Clearwater,penelopeclearwater@hogwarts.com,ALCH1532,ASTRO1744,ARITH1637,DARTS1516,HERB1790,POTCR1988,student,student,student,student,student,student,Year 1 Core Modules Cohort,Year 1 Project Cohort
bathsheda,123456-Ab,Bathsheda,Babbling,bathshedababbling@hogwarts.com,ALCH1532,ASTRO1744,ARITH1637,DARTS1516,HERB1790,POTCR1988,student,student,student,student,student,student,Year 1 Core Modules Cohort,Year 1 Project Cohort
charlie,123456-Ab,Charlie,Weasley,charlieweasley@hogwarts.com,ALCH1532,ASTRO1744,ARITH1637,DARTS1516,HERB1790,POTCR1988,student,student,student,student,student,student,Year 1 Core Modules Cohort,Year 1 Project Cohort
cuthbert,123456-Ab,Cuthbert,Binns,cuthbertbinns@hogwarts.com,ALCH1532,ASTRO1744,ARITH1637,DARTS1516,HERB1790,POTCR1988,student,student,student,student,student,student,Year 1 Core Modules Cohort,Year 1 Project Cohort
dolores,123456-Ab,Dolores ,Umbridge,doloresumbridge@hogwarts.com,ALCH1532,ASTRO1744,ARITH1637,DARTS1516,HERB1790,POTCR1988,student,student,student,student,student,student,Year 1 Core Modules Cohort,Year 1 Project Cohort
